actor_1_facebook_likes,budget,actor_2_facebook_likes,,,
0.0203125,0.002210289,0.006218978,,,
0.0703125,0.001391657,0.02919708,,,
0.000764063,0.002455878,0.000678832,,,
0.0015625,0.002046562,0.001927007,,,
0.001384375,0.001146067,0.002014599,,,
0.0484375,0.001637246,0.006430657,,,
0.001407813,0.001800973,0.005656934,,,
0.001517188,0.002455878,0.006160584,,,
0.003125,0.001800973,0.004343066,,,
0.000864063,0.002455878,0.003562044,,,
0.0625,0.000147336,0.006218978,,,
0.0203125,0.001964699,0.01459854,,,
0.000845313,0.001637246,0.001817518,,,
0.003125,0.001637246,0.006846715,,,
0.034375,0.002455878,0.005927007,,,
0.0421875,0.00147352,0.131386861,,,
0.0453125,0.002619605,0.00120438,,,
0.0359375,0.003110784,0.102189781,,,
0.000832813,0.001391657,0.00159854,,,
0.001445313,0.00122793,0.000277372,,,
0.021875,0.002455878,0.007116788,,,
0.001228125,0.001637246,0.004138686,,,
0.021875,0.001637246,0.087591241,,,
0.000445313,0.002046562,0.000591241,,,
0.0046875,0.001637246,0.005656934,,,
0.0171875,0.001432588,0.007145985,,,
0.0265625,0.002619605,0.080291971,,,
0.001382813,0.001555383,0.006043796,,,
0.00093125,0.001637246,0.001934307,,,
0.001425,0.001146067,0.005737226,,,
0.00126875,0.001309793,0.002379562,,,
0.003125,0.002865194,0.004985401,,,
0.0015625,0.001964699,0.003569343,,,
0.025,0.002865194,0.080291971,,,
0.003125,0.002046562,0.00729927,,,
0.000629688,0.001637246,0.002686131,,,
0.028125,0.001309793,0.004642336,,,
0.0014625,0.00122793,0.006029197,,,
0.001379688,0.001309793,0.004350365,,,
0.003125,0.001637246,0.00729927,,,
0.003125,0.00147352,0.00580292,,,
0.0008,0.00122793,0.002306569,,,
0.0171875,0.001391657,0.002379562,,,
0.0203125,0.002210289,0.080291971,,,
0.001495313,0.00122793,0.001189781,,,
0.0234375,0.00147352,0.080291971,,,
0.001492188,0.002455878,0.006343066,,,
0.000103125,0.002455878,3.65E-05,,,
0.000625,0.001637246,0.001605839,,,
0.001078125,0.002865194,0.003335766,,,
0.034375,0.002292152,0.080291971,,,
0.034375,0.002046562,0.006233577,,,
0.000510938,0.001882836,0.001905109,,,
0.001457813,0.001800973,0.006124088,,,
0.0171875,0.002660536,0.00729927,,,
0.034375,0.001964699,0.004890511,,,
0.000996875,0.00122793,0.004554745,,,
0.001545313,0.002783331,0.007080292,,,
0.0046875,0.001637246,0.006985401,,,
0.0015625,0.002865194,0.005591241,,,
0.001523438,0.001800973,0.004153285,,,
0.001246875,0.002046562,0.002729927,,,
0.0765625,0.002046562,0.00729927,,,
0.0453125,0.001882836,0.160583942,,,
0.000625,0.002046562,0.001627737,,,
0.0046875,0.001882836,0.002540146,,,
0.00625,0.00147352,0.005985401,,,
0.00058125,0.002783331,0.001810219,,,
0.001403125,0.002455878,0.004262774,,,
0.028125,0.002865194,0.002905109,,,
0.0046875,0.002865194,0.00729927,,,
0.001203125,0.002455878,0.004941606,,,
0.001223438,0.00122793,0.004846715,,,
0.0171875,0.002865194,0.01459854,,,
0.0234375,0.002455878,0.00729927,,,
0.001545313,0.001391657,0.006481752,,,
0.000442188,0.001637246,0.00150365,,,
0.0046875,0.00116244,0.005613139,,,
0.000170313,0.001432588,0.000489051,,,
3.59E-05,0.001146067,8.76E-05,,,
0.0515625,0.002374015,0.004656934,,,
0.0009,0.002292152,0.003262774,,,
0.001379688,0.00122793,0.003138686,,,
0.009375,0.001637246,0.007007299,,,
0.0171875,0.002046562,0.006394161,,,
0.001085938,0.002046562,0.004635036,,,
0.003125,0.002455878,0.00729927,,,
0.003125,0.002455878,0.004335766,,,
0.015625,0.00327451,0.005729927,,,
4.69E-06,0.002865194,1.46E-05,,,
0.003125,0.002046562,0.006408759,,,
0.001417188,0.001146067,0.005890511,,,
0.001290625,0.002455878,0.005051095,,,
0.0046875,0.001555383,0.003992701,,,
0.0015625,0.002128426,0.006817518,,,
0.001545313,0.00122793,0.007167883,,,
0.0015625,0.00122793,0.00729927,,,
0.0203125,0.001195185,0.004167883,,,
0.0140625,0.002783331,0.00729927,,,
0.000276563,0.001637246,0.00040146,,,
0.0328125,0.001309793,0.003948905,,,
0.0015625,0.001637246,0.00729927,,,
0.001489063,0.00122793,0.005328467,,,
0.000609375,0.002128426,0.002270073,,,
0.0015625,0.001268862,0.00729927,,,
0.0171875,0.001637246,0.02189781,,,
0.028125,0.002046562,0.00729927,,,
0.003125,0.001637246,0.006620438,,,
0.001295313,0.001637246,0.004970803,,,
0.0015625,0.001309793,0.00689781,,,
0.0015625,0.002865194,0.003007299,,,
0.000176563,0.002865194,0.000715328,,,
0.034375,0.002619605,0.065693431,,,
0.0296875,0.00122793,0.004138686,,,
0.00118125,0.002046562,0.00520438,,,
0.003125,0.001964699,0.00729927,,,
0.01875,0.001555383,0.006029197,,,
0.001434375,0.002455878,0.005708029,,,
0.01875,0.001964699,0.006233577,,,
0.040625,0.002865194,0.007065693,,,
0.0078125,0.002046562,0.006189781,,,
0.028125,0.002537742,0.007182482,,,
0.0265625,0.003028921,0.087591241,,,
0.001475,0.002455878,0.006861314,,,
0.0004125,0.001637246,0.000452555,,,
0.028125,0.002865194,0.006029197,,,
0.001092188,0.001637246,0.003890511,,,
0.001232813,0.00147352,0.003094891,,,
0.001017188,0.001637246,0.004051095,,,
0.0234375,0.002455878,0.006124088,,,
0.0171875,0.002455878,0.006437956,,,
0.00126875,0.002701468,0.004021898,,,
0.000814063,0.002455878,0.003583942,,,
0.021875,0.002292152,0.00729927,,,
0.001185938,0.001637246,0.002927007,,,
0.028125,0.00147352,0.080291971,,,
0.0703125,0.001964699,0.00729927,,,
0.001201563,0.002455878,0.00520438,,,
0.0171875,0.002455878,0.007189781,,,
0.001529688,0.002455878,0.00650365,,,
0.015625,0.001391657,0.005481752,,,
0.0015625,0.003110784,0.00729927,,,
0.034375,0.000736751,0.004065693,,,
0.0015625,0.001637246,0.003394161,,,
0.0296875,0.002865194,0.006985401,,,
0.001290625,0.00171911,0.005956204,,,
0.001275,0.00122793,0.005072993,,,
0.0015625,0.001637246,0.006218978,,,
0.001515625,0.002046562,0.006233577,,,
0.0171875,0.002210289,0.006978102,,,
0.001545313,0.001637246,0.006854015,,,
0.003125,0.001800973,0.006978102,,,
0.01875,0.001760041,0.003948905,,,
0.0375,0.002046562,0.005372263,,,
0.000826563,0.002865194,0.000948905,,,
0.0015625,0.001391657,0.003182482,,,
0.001014063,0.001800973,0.002386861,,,
0.034375,0.00122793,0.03649635,,,
0.000473438,0.002865194,0.000131387,,,
0.001557813,0.001146067,0.006029197,,,
0.001059375,0.002619605,0.004635036,,,
0.00078125,0.00147352,0.002248175,,,
0.001385938,0.000875918,0.005620438,,,
0.00089375,0.001637246,0.004,,,
0.0171875,0.002455878,0.006029197,,,
0.001365625,0.001146067,0.004474453,,,
0.001417188,0.00122793,0.004270073,,,
0.000829688,0.002455878,0.003364964,,,
0.000273438,0.000654888,0.000839416,,,
0.001267188,0.002455878,0.004277372,,,
0.0171875,0.002210289,0.007218978,,,
0.003125,8.18E-05,0.006029197,,,
0.021875,0.001391657,0.080291971,,,
0.025,0.001555383,0.02919708,,,
0.00089375,0.00122793,0.002364964,,,
0.001407813,0.001146067,0.004416058,,,
0.000598438,0.000900477,0.002430657,,,
0.0046875,0.002455878,0.001956204,,,
0.015625,0.001391657,0.004131387,,,
0.001079688,0.00147352,0.003474453,,,
0.021875,0.000163709,0.004510949,,,
0.001489063,0.001146067,0.00619708,,,
0.000510938,0.002865194,0.000532847,,,
0.0234375,0.002455878,0.00729927,,,
0.0359375,0.00122793,0.02919708,,,
0.0140625,0.001964699,0.00729927,,,
0.0328125,0.000712192,0.131386861,,,
0.0171875,0.001637246,0.003459854,,,
0.0265625,0.00122793,0.006437956,,,
0.0515625,0.00122793,0.005459854,,,
0.0015625,0.002292152,0.006839416,,,
0.001514063,0.001800973,0.00579562,,,
0.021875,0.002292152,0.00320438,,,
0.0171875,0.003110784,0.00450365,,,
0.0015625,0.002210289,0.005905109,,,
0.001251563,0.001637246,0.001270073,,,
0.001390625,0.001637246,0.005321168,,,
0.001454688,0.00122793,0.003934307,,,
0.00068125,0.001800973,0.001759124,,,
0.001320313,0.002619605,0.004029197,,,
0.028125,0.002046562,0.087591241,,,
0.000553125,0.00122793,0.001262774,,,
0.01875,0.001800973,0.00729927,,,
0.003125,0.002210289,0.006029197,,,
0.028125,0.002046562,0.006905109,,,
0.000471875,0.001637246,0.001576642,,,
3.13E-06,0.001555383,0,,,
0.03125,0.001309793,0.02919708,,,
0.000857813,0.001432588,0.001963504,,,
0.000946875,6.60E-05,0.002423358,,,
0.001389063,0.002865194,0.004510949,,,
0.001495313,0.001760041,0.005992701,,,
0.00625,0.001637246,0.006452555,,,
0.003125,0.002865194,0.006029197,,,
0.0046875,0.001432588,0.003357664,,,
0.0125,0.001309793,0.01459854,,,
0.0234375,0.002865194,0.01459854,,,
0.0015625,0.001882836,0.00729927,,,
0.0296875,0.001268862,0.004240876,,,
0.0015625,0.00122793,0.00120438,,,
0.001435938,0.00122793,0.004065693,,,
0.0015625,0.00147352,0.005715328,,,
0.001470313,0.001146067,0.003350365,,,
0.001467188,0.002455878,0.001861314,,,
0.001521875,0.00147352,0.004693431,,,
0.001490625,0.001637246,0.005394161,,,
0.0171875,0.002537742,0.02189781,,,
0.0234375,0.002865194,0.02189781,,,
0.000671875,0.002619605,0.000525547,,,
0.0234375,0.002455878,0.00729927,,,
0.0625,0.002865194,0.00729927,,,
5.78E-05,0.003028921,8.76E-05,,,
0.000759375,0.001637246,0.003437956,,,
0.00068125,0.00122793,0.002364964,,,
0.034375,0.00122793,0.087591241,,,
0.0015625,0.002128426,0.006817518,,,
0.003125,0.002128426,0.004284672,,,
0.0046875,0.00147352,0.00729927,,,
0.000510938,0.001882836,0.002051095,,,
0.025,0.002701468,0.004386861,,,
0.0328125,0.001637246,0.00729927,,,
0.0265625,0.003110784,0.00729927,,,
0.0171875,0.002865194,0.00729927,,,
0.001210938,0.002128426,0.003817518,,,
0.0015625,0.001391657,0.003569343,,,
0.00061875,0.002865194,0.002467153,,,
0.0375,0.00122793,0.007087591,,,
0.003125,0.002054749,0.006029197,,,
0.000996875,0.002292152,0.001167883,,,
0.001278125,0.00122793,0.003729927,,,
0.000990625,0.001105135,0.001963504,,,
0.0109375,0.002128426,0.007051095,,,
0.001128125,0.000818614,0.004233577,,,
0.001334375,0.003110784,0.003963504,,,
0.001045313,0.001800973,0.003131387,,,
0.0015625,0.00122793,0.000751825,,,
0.0125,0.001800973,0.00729927,,,
0.00018125,0.00122793,0.00080292,,,
0.0203125,0.001309793,0.094890511,,,
0.001390625,0.001637246,0.006218978,,,
0.0171875,0.002455878,0.00240146,,,
0.034375,0.00327451,0.094890511,,,
7.03E-05,0.002046562,0.000218978,,,
0.000989063,0.00122793,0.000489051,,,
0.000901563,0.001555383,0.002124088,,,
0.0046875,0.002046562,0.003218978,,,
0.01875,0.001309793,0.00729927,,,
0.0171875,0.001964699,0.004321168,,,
0.00625,0.002865194,0.00659854,,,
0.01875,0.002865194,0.005649635,,,
0.0015625,0.002455878,0.00320438,,,
0.001528125,0.002455878,0.007065693,,,
0.003125,0.002046562,0.002759124,,,
0.001078125,0.000327435,0.002919708,,,
0.021875,0.002619605,0.002832117,,,
0.00146875,0.002455878,0.001978102,,,
0.003125,0.002046562,0.006956204,,,
0.0296875,0.001882836,0.000934307,,,
0.000885938,0.002128426,0.002934307,,,
0.021875,0.00122793,0.00729927,,,
0.03125,0.00122793,0.00729927,,,
0.021875,0.001800973,0.003693431,,,
0.0296875,0.002455878,0.00729927,,,
0.001290625,0.002128426,0.004306569,,,
0.021875,0.002046562,0.005956204,,,
0.003125,0.00327451,0.006554745,,,
0.0171875,0.002210289,0.004357664,,,
0.028125,0.002947058,0.004883212,,,
0.00131875,0.00147352,0.003328467,,,
0.0009625,0.002046562,0.003948905,,,
0.001278125,0.001391657,0.004642336,,,
0.001290625,0.00122793,0.003708029,,,
0.021875,0.001637246,0.00729927,,,
0.025,0.00147352,0.02919708,,,
0.000710938,0.002455878,0.001613139,,,
0.0703125,0.002701468,0.004708029,,,
0.000990625,0.001391657,0.003919708,,,
0.003125,0.001637246,0.00729927,,,
0.028125,0.003028921,0.00059854,,,
0.00140625,0.002865194,0.005540146,,,
0.0265625,0.002046562,0.072992701,,,
0.000735938,0.00122793,0.002248175,,,
0.003125,0.002865194,0.006306569,,,
0.0046875,0.001800973,0.005058394,,,
0.000601563,0.002128426,0.001693431,,,
0.000834375,0.002865194,0.002810219,,,
0.000745313,0.00122793,0.00289781,,,
0.001523438,0.001146067,0.006656934,,,
0.0015625,0.002374015,0.002985401,,,
0.01875,0.001964699,0.003233577,,,
0.003125,0.002046562,0.005270073,,,
0.0011125,0.00147352,0.002489051,,,
0.001545313,0.00122793,0.006138686,,,
0.0125,0.002210289,0.005094891,,,
0.001185938,0.002455878,0.000532847,,,
0.01875,0.002537742,0.003613139,,,
0.000475,0.002455878,0.001846715,,,
0.0046875,0.002210289,0.006437956,,,
0.0015625,0.001882836,0.004693431,,,
0.00625,0.002046562,0.004094891,,,
0.0296875,0.002292152,0.124087591,,,
0.0765625,0.002292152,0.01459854,,,
0.0015625,0.000818614,0.00329927,,,
0.0171875,0.002578673,0.072992701,,,
0.0125,0.002619605,0.006656934,,,
0.00071875,0.001731389,0.003226277,,,
0.025,0.001178812,0.080291971,,,
0.028125,0.003110784,0.004262774,,,
0.0234375,0.002046562,0.02189781,,,
0.0515625,0.001432588,0.003350365,,,
0.0015625,0.002865194,0.005051095,,,
0.003125,0.001637246,0.005467153,,,
0.00079375,0.001637246,0.001970803,,,
0.00090625,0.002292152,0.002452555,,,
0.001223438,0.002292152,0.000963504,,,
0.0015625,0.001391657,0.006467153,,,
0.001548438,0.00327451,7.30E-05,,,
0.01875,0.001555383,0.080291971,,,
0.021875,0.001555383,0.004372263,,,
0.0171875,0.001637246,0.006540146,,,
0.0421875,0.002046562,0.005824818,,,
0.001504688,0.002046562,0.006832117,,,
0.0171875,0.001309793,0.004744526,,,
0.001267188,0.00122793,0.004642336,,,
0.00131875,0.001882836,0.005591241,,,
0.0234375,0.002455878,0.080291971,,,
0.0265625,0.00122793,0.102189781,,,
0.001548438,0.001637246,0.003605839,,,
0.003125,0.001882836,0.01459854,,,
0.001164063,0.001637246,0.001226277,,,
0.00141875,0.002046562,0.004240876,,,
0.0015625,0.000163709,0.003715328,,,
0.001523438,0.002046562,0.00380292,,,
0.0359375,0.001637246,0.006394161,,,
0.0234375,0.002046562,0.006218978,,,
0.001129688,0.00147352,0.003080292,,,
0.028125,0.002046562,0.102189781,,,
0.01875,0.001637246,0.003379562,,,
0.003125,0.00327451,0.003686131,,,
0.001514063,0.002865194,0.006029197,,,
0.0125,0.001391657,0.003671533,,,
0.0203125,0.001964699,0.004985401,,,
0.01875,0.001391657,0.004846715,,,
0.01875,0.001800973,0.006868613,,,
0.003125,0.002455878,0.003160584,,,
0.0765625,0.001342539,0.00729927,,,
0.001517188,0.001964699,0.003671533,,,
0.0234375,0.003028921,0.102189781,,,
0.0046875,0.00122793,0.005751825,,,
0.0484375,0.00122793,0.02189781,,,
0.000934375,0.002455878,0.004065693,,,
0.0015625,0.001637246,0.004518248,,,
0.034375,0.00122793,0.160583942,,,
0.000885938,0.001391657,0.003671533,,,
0.001325,0.002476344,0.00589781,,,
0.0359375,0.002455878,0.094890511,,,
0.034375,0.002046562,0.002708029,,,
0.034375,0.00171911,0.00729927,,,
0.034375,0.001637246,0.080291971,,,
0.001515625,0.002455878,0.004605839,,,
0.01875,0.003028921,0.02189781,,,
0.0015625,0.002619605,0.004094891,,,
0.0007625,0.174165586,0.002452555,,,
0.028125,0.002455878,0.005277372,,,
0.0296875,0.000900477,0.006386861,,,
0.0007,0.001882836,0.001043796,,,
0.0359375,0.002292152,0.005306569,,,
0.040625,0.00171911,0.00729927,,,
0.0359375,0.002865194,0.000160584,,,
0.0015625,0.00147352,0.004554745,,,
0.003125,0.001391657,0.00729927,,,
0.001103125,0.001146067,0.001941606,,,
0.003125,0.003110784,0.005518248,,,
0.021875,0.002046562,0.087591241,,,
0.03125,0.002046562,0.00450365,,,
0.00051875,0.00147352,0.00120438,,,
0.0765625,0.002865194,0.160583942,,,
0.001129688,0.001391657,0.004029197,,,
0.001473438,0.002292152,0.005569343,,,
0.0171875,0.00122793,0.005985401,,,
0.0015625,0.001637246,0.00579562,,,
0.0171875,0.00122793,0.03649635,,,
0.003125,0.00147352,0.007153285,,,
0.015625,0.002578673,0.00640146,,,
0.01875,0.000941409,0.002262774,,,
0.003125,0.001637246,0.006817518,,,
0.0359375,0.00122793,0.00729927,,,
0.001021875,0.00122793,0.003861314,,,
0.0265625,0.001637246,0.00729927,,,
0.001078125,0.001637246,0.001635036,,,
0.000928125,0.00225122,0.002211679,,,
0.000939063,0.002046562,0.003963504,,,
0.0015625,0.000221013,0.005072993,,,
0.000925,0.003192647,0.003766423,,,
0.0171875,0.002292152,0.00729927,,,
0.028125,0.002128426,0.109489051,,,
0.00141875,0.00122793,0.005576642,,,
0.0046875,0.002701468,0.004335766,,,
0.000907813,0.002210289,0.004167883,,,
0.0013375,0.001637246,0.005416058,,,
0.0328125,0.00122793,0.00729927,,,
0.000845313,0.002046562,0.002912409,,,
0.0046875,0.001800973,0.007065693,,,
0.000615625,0.001391657,0.001094891,,,
0.0046875,0.002455878,0.003350365,,,
0.0234375,0.003028921,0.102189781,,,
0.0015625,0.001637246,0.003934307,,,
0.000509375,0.000802242,0.000350365,,,
0.0046875,0.00171911,0.002386861,,,
0.00146875,0.003192647,0.006751825,,,
0.003125,0.00122793,0.005985401,,,
0.0359375,0.002455878,0.006635036,,,
0.001160938,0.002128426,0.002875912,,,
0.003125,0.00171911,0.006029197,,,
0.001445313,0.00122793,0.004817518,,,
0.003125,0.002865194,0.004729927,,,
0.0046875,0.001637246,0.004394161,,,
0.0015625,0.00171911,0.006576642,,,
0.028125,0.002455878,0.004605839,,,
0.0515625,0.001023272,0.160583942,,,
0.0015625,0.001637246,0.007058394,,,
0.021875,0.010232883,0.00729927,,,
0.001454688,0.002865194,0.00550365,,,
0.001204688,0.002128426,0.004160584,,,
0.0005375,0.002619605,0.001766423,,,
0.0203125,0.00122793,0.006394161,,,
0.034375,0.000818614,0.094890511,,,
0.0005125,0.002046562,0.000963504,,,
0.021875,0.002046562,0.01459854,,,
0.0015625,0.001637246,0.004941606,,,
0.0046875,0.00147352,0.00729927,,,
0.001209375,0.002046562,0.005051095,,,
0.001520313,0.002783331,0.006963504,,,
0.0171875,0.002292152,0.005540146,,,
0.001165625,0.002947058,0.004394161,,,
0.0015625,0.001391657,0.004328467,,,
0.034375,0.001637246,0.01459854,,,
0.0015625,0.002210289,0.003693431,,,
3.13E-05,0.001637246,0.000131387,,,
0.000948438,0.001064204,0.001963504,,,
0.00116875,0.002210289,0.003569343,,,
0.001110938,0.00171911,0.003576642,,,
0.028125,0.00122793,0.01459854,,,
0.0125,0.002128426,0.00729927,,,
0.000925,0.001146067,0.004058394,,,
0.0625,0.001514452,0.005058394,,,
0.025,0.002046562,0.080291971,,,
0.040625,0.002455878,0.005992701,,,
0.0171875,0.002865194,0.080291971,,,
0.000625,0.001391657,0.001408759,,,
0.001326563,0.002046562,0.006138686,,,
0.000882813,0.001637246,0.003218978,,,
0.0015625,0.00327451,0.003649635,,,
0.001035938,0.002455878,0.002547445,,,
0.001517188,0.003683827,0.001722628,,,
0.0203125,0.00122793,0.072992701,,,
0.0015625,0.000818614,0.005437956,,,
0.001217188,0.002455878,0.001751825,,,
0.0203125,0.002046562,0.080291971,,,
0.001334375,0.001309793,0.002992701,,,
0.001023438,0.002046562,0.00380292,,,
0.0625,0.003110784,0.006591241,,,
0.0296875,0.010314746,0.087591241,,,
0.001454688,0.001882836,0.006218978,,,
0.0171875,0.00122793,0.006277372,,,
0.001382813,0.000982341,0.005956204,,,
0.00149375,0.00122793,0.006408759,,,
0.0015625,0.00122793,0.006467153,,,
0.0203125,0.002619605,0.006554745,,,
0.001409375,0.001309793,0.006109489,,,
0.001334375,0.002046562,0.005124088,,,
0.0203125,0.003028921,0.004686131,,,
0.034375,0.002701468,0.080291971,,,
0.001445313,0.001391657,0.005386861,,,
0.0375,0.002865194,0.109489051,,,
0.0390625,0.001350725,0.102189781,,,
